model_key,seed,eff_rank_graph,rank90_graph,eff_rank_textproj,rank90_textproj,eff_rank_fused,rank90_fused,eff_rank_weight,rank90_weight
TAME_FUSION_VANILLA,11,1.2728841304779053,1,1.4948896169662476,1,3.882406711578369,7,15.306326866149902,46
TAME_FUSION_VANILLA,22,1.0657485723495483,1,1.271554708480835,1,4.186416149139404,8,5.2386674880981445,26
TAME_FUSION_VANILLA,33,1.6556273698806763,2,1.3890594244003296,1,4.092750549316406,6,4.929006099700928,28
TAME_FUSION_VANILLA,44,1.0926997661590576,1,1.670580267906189,1,3.82303524017334,7,34.42873764038086,52
TAME_FUSION_VANILLA,55,1.0089596509933472,1,1.749097228050232,2,4.043402194976807,7,4.874748706817627,23
TAME_FUSION_PT_S1,11,7.929763317108154,10,1.7165318727493286,2,3.7134926319122314,7,3.4188451766967773,13
TAME_FUSION_PT_S1,22,6.439608573913574,7,2.03635835647583,2,3.9498138427734375,7,4.192877769470215,17
TAME_FUSION_PT_S1,33,4.53883695602417,5,2.2327167987823486,2,3.6541907787323,6,7.531458377838135,32
TAME_FUSION_PT_S1,44,8.066143035888672,10,2.175943613052368,2,4.1925835609436035,7,6.31321382522583,23
TAME_FUSION_PT_S1,55,13.881183624267578,15,1.4122577905654907,1,3.8250420093536377,7,4.07221794128418,18
TAME_VANILLA,11,1.0430248975753784,1,1.4230555295944214,1,3.2262375354766846,6,8.046226501464844,27
TAME_VANILLA,22,1.010213851928711,1,1.7734829187393188,2,3.505976438522339,6,7.850931644439697,22
TAME_VANILLA,33,1.0251998901367188,1,1.4473201036453247,1,3.0798091888427734,5,6.02734899520874,22
TAME_VANILLA,44,1.252786636352539,1,1.2286227941513062,1,4.2025251388549805,7,6.981590747833252,28
TAME_VANILLA,55,1.0015580654144287,1,1.1773298978805542,1,3.99455189704895,7,8.429457664489746,35
TAME_PT_S1,11,9.2916259765625,12,1.3167672157287598,1,3.5158963203430176,6,8.700766563415527,28
TAME_PT_S1,22,4.1904683113098145,6,1.9952619075775146,2,3.5068695545196533,6,12.514907836914062,37
TAME_PT_S1,33,12.180137634277344,15,1.637811303138733,2,2.9751663208007812,4,14.005183219909668,38
TAME_PT_S1,44,6.7631635665893555,9,1.9789031744003296,2,3.430215358734131,5,9.631021499633789,31
TAME_PT_S1,55,6.891019344329834,11,3.007864475250244,3,3.2752480506896973,4,8.27902889251709,24
