Model,Seed,Test_ROC_AUC,Test_PR_AUC,Test_Macro_F1,Val_ROC_AUC,Gate_Graph,Gate_Text,Gate_Desc,Gate_SEG,Gate_Entropy_Mean,Gate_Min_Mean,Stop_Epoch
PyG ChebNet (TAME HPs),260,0.7690217391304348,0.8084367781434407,0.6041666666666667,0.661869225302061,nan,nan,nan,nan,nan,nan,100
PyG ChebNet (TAME HPs),96,0.8052536231884058,0.8474633942686224,0.6775059536696255,0.6920753375977257,nan,nan,nan,nan,nan,nan,97
PyG ChebNet (TAME HPs),918,0.7030797101449275,0.7937331090935473,0.618421052631579,0.6890547263681592,nan,nan,nan,nan,nan,nan,36
PyG ChebNet (TAME HPs),714,0.7320652173913044,0.8036325954440605,0.597831273042724,0.6899431414356787,nan,nan,nan,nan,nan,nan,56
PyG ChebNet (TAME HPs),42,0.7233695652173913,0.7975908562071461,0.6530289727831431,0.6798152096659558,nan,nan,nan,nan,nan,nan,64
PyG ChebNet (TAME HPs),778,0.6655797101449276,0.756151146845062,0.5096774193548387,0.6707533759772566,nan,nan,nan,nan,nan,nan,42
PyG ChebNet (TAME HPs),660,0.8309782608695653,0.8731729045470512,0.6129938542581211,0.6826581378820185,nan,nan,nan,nan,nan,nan,119
PyG ChebNet (TAME HPs),431,0.8161231884057971,0.8741882622486432,0.6190476190476191,0.6819474058280028,nan,nan,nan,nan,nan,nan,116
PyG ChebNet (TAME HPs),804,0.8010869565217391,0.8526280953055648,0.6769464324441552,0.6618692253020612,nan,nan,nan,nan,nan,nan,88
PyG ChebNet (TAME HPs),186,0.7742753623188404,0.8375595886383356,0.6167623022083115,0.6915422885572139,nan,nan,nan,nan,nan,nan,81
PyG ChebNet (TAME HPs),347,0.7956521739130435,0.8455045201167444,0.6868726714880562,0.6805259417199716,nan,nan,nan,nan,nan,nan,90
PyG ChebNet (TAME HPs),60,0.7889492753623188,0.8306137307361611,0.6644591611479029,0.6828358208955224,nan,nan,nan,nan,nan,nan,119
PyG ChebNet (TAME HPs),86,0.7309782608695653,0.8151375184609919,0.6578354978354979,0.6862117981520965,nan,nan,nan,nan,nan,nan,46
PyG ChebNet (TAME HPs),461,0.6128623188405797,0.7121454622406085,0.4714356681569796,0.5950604122245913,nan,nan,nan,nan,nan,nan,7
PyG ChebNet (TAME HPs),889,0.7693840579710145,0.8372193087432288,0.6116983791402395,0.6725302061122956,nan,nan,nan,nan,nan,nan,118
PyG ChebNet (TAME HPs),397,0.6438405797101449,0.7330189936011798,0.5210084033613445,0.6300639658848614,nan,nan,nan,nan,nan,nan,5
PyG ChebNet (TAME HPs),309,0.7398550724637681,0.8208660760548352,0.5875350140056022,0.6759061833688699,nan,nan,nan,nan,nan,nan,68
PyG ChebNet (TAME HPs),798,0.7534420289855073,0.826531940748701,0.6305555555555555,0.6931414356787492,nan,nan,nan,nan,nan,nan,74
PyG ChebNet (TAME HPs),594,0.7994565217391304,0.8412481806076688,0.634599414310066,0.663823738450604,nan,nan,nan,nan,nan,nan,90
PyG ChebNet (TAME HPs),643,0.8251811594202899,0.8667054679775283,0.7170930182227416,0.6842572850035537,nan,nan,nan,nan,nan,nan,101
PyG ChebNet (TAME HPs),455,0.788768115942029,0.8416127214344544,0.6368848542761587,0.6805259417199716,nan,nan,nan,nan,nan,nan,117
PyG ChebNet (TAME HPs),723,0.6554347826086957,0.711740883324628,0.6361829923677912,0.6767945984363896,nan,nan,nan,nan,nan,nan,29
PyG ChebNet (TAME HPs),964,0.8141304347826088,0.8590861668879326,0.7224830464267084,0.6883439943141435,nan,nan,nan,nan,nan,nan,93
PyG ChebNet (TAME HPs),335,0.7856884057971015,0.843332201747345,0.6772823779193206,0.662046908315565,nan,nan,nan,nan,nan,nan,118
PyG ChebNet (TAME HPs),716,0.7371376811594204,0.802989079127086,0.6425087108013938,0.6671997157071785,nan,nan,nan,nan,nan,nan,36
PyG ChebNet (TAME HPs),127,0.548731884057971,0.6296625287947473,0.41312741312741313,0.5916844349680171,nan,nan,nan,nan,nan,nan,22
PyG ChebNet (TAME HPs),669,0.7945652173913044,0.8461602998373321,0.7097222222222221,0.6966950959488273,nan,nan,nan,nan,nan,nan,76
PyG ChebNet (TAME HPs),323,0.7719202898550726,0.8221085370001467,0.5983086680761099,0.6918976545842218,nan,nan,nan,nan,nan,nan,75
PyG ChebNet (TAME HPs),81,0.793659420289855,0.8385594737834505,0.6284267504801816,0.6632906894100924,nan,nan,nan,nan,nan,nan,116
PyG ChebNet (TAME HPs),553,0.8266304347826088,0.8674070768574215,0.7496098491416681,0.6897654584221748,nan,nan,nan,nan,nan,nan,104
PyG ChebNet (TAME HPs),414,0.6797101449275362,0.7615639279537918,0.4577213547699578,0.6009239516702204,nan,nan,nan,nan,nan,nan,19
PyG ChebNet (TAME HPs),819,0.6364130434782609,0.7167550484657874,0.5708639186900056,0.5541933191186923,nan,nan,nan,nan,nan,nan,3
