Model,Seed,Test_ROC_AUC,Test_PR_AUC,Test_Macro_F1,Val_ROC_AUC,Gate_Graph,Gate_Text,Gate_Desc,Gate_SEG,Gate_Entropy_Mean,Gate_Min_Mean,Stop_Epoch
rf_ecfp,429,0.8659420289855072,0.9034271082579018,0.7169950205672223,0.7230810234541577,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,922,0.8682971014492753,0.9030505510181286,0.7302514824914512,0.7174840085287846,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,979,0.8711956521739131,0.9062798528618585,0.7302514824914512,0.7232587064676618,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,445,0.8653079710144929,0.9050325978085656,0.7236363636363636,0.7257462686567164,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,419,0.8688405797101451,0.9068505166661712,0.7236363636363636,0.7194385216773276,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,739,0.8619565217391305,0.9004028433232265,0.7103257103257103,0.7168621179815209,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,148,0.8693840579710146,0.9054650084792037,0.743409946760161,0.7241471215351812,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,315,0.8646739130434782,0.9018013514933771,0.7169950205672223,0.7229921819474059,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,156,0.8662137681159421,0.9057474873905843,0.7236363636363636,0.7309879175550819,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,656,0.8597826086956522,0.8958584736441415,0.703626673599376,0.7287668798862829,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,169,0.8598731884057971,0.9006839743929957,0.703626673599376,0.7193496801705757,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,475,0.8652173913043478,0.9042443308343087,0.703626673599376,0.7189054726368158,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,392,0.8690217391304348,0.9039221070986165,0.7302514824914512,0.7229921819474058,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,763,0.8627717391304348,0.9046591082871602,0.7169950205672223,0.7223702914001422,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,359,0.8654891304347827,0.9048578598268788,0.7499567099567099,0.7255685856432125,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,633,0.8620471014492753,0.9016389665192895,0.7368421052631579,0.7211265103056149,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,824,0.8659420289855073,0.9043559526568979,0.7302514824914512,0.7237917555081735,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,183,0.8667572463768117,0.9041793063892731,0.7302514824914512,0.72681236673774,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,830,0.8638586956521739,0.9051324186893767,0.7302514824914512,0.724680170575693,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,963,0.8640398550724637,0.9053284131785044,0.7169950205672223,0.7256574271499645,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,212,0.8692934782608696,0.9064252725564357,0.703626673599376,0.7179282160625444,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,886,0.8637681159420291,0.9050037147205219,0.7103257103257103,0.7228144989339019,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,846,0.8633152173913043,0.8996206679564043,0.7368421052631579,0.7276119402985075,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,118,0.8594202898550725,0.901639126487605,0.7169950205672223,0.7198827292110873,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,158,0.8661231884057972,0.905102418516917,0.7103257103257103,0.7187277896233122,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,771,0.8631340579710145,0.9008715230077811,0.7236363636363636,0.7249466950959489,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,772,0.8634963768115942,0.9022206331548948,0.7236363636363636,0.7219260838663824,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,184,0.8632246376811594,0.9037598875055022,0.7103257103257103,0.7237917555081734,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,722,0.8609601449275364,0.9023934178007573,0.7302514824914512,0.722459132906894,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,140,0.8675724637681159,0.9061710275487735,0.7368421052631579,0.7232587064676617,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,239,0.8677536231884058,0.9052110878155419,0.7103257103257103,0.7237917555081735,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,518,0.8618659420289856,0.9031022574478533,0.7103257103257103,0.7217484008528784,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,690,0.8720108695652173,0.9057817798111993,0.7236363636363636,0.7237029140014215,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,480,0.8652173913043478,0.9032269022047231,0.7302514824914512,0.7204157782515991,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,507,0.8622282608695652,0.9039142481428434,0.7103257103257103,0.7205934612651029,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,287,0.8609601449275363,0.9004191374085423,0.743409946760161,0.7196162046908317,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,875,0.8668478260869565,0.9041728040624982,0.703626673599376,0.7262793176972282,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,720,0.8672101449275362,0.902956399708019,0.7103257103257103,0.7185501066098081,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,596,0.8727355072463768,0.9074863425144154,0.7302514824914512,0.7234363894811655,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,759,0.867572463768116,0.9071792318909933,0.7368421052631579,0.7232587064676617,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,932,0.8674818840579711,0.9046793011883412,0.7302514824914512,0.7233475479744137,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,835,0.8588768115942028,0.9023797057422068,0.743409946760161,0.7219260838663824,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,523,0.8713768115942029,0.9095107920879111,0.7236363636363636,0.7211265103056147,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,385,0.8666666666666667,0.9022478141736006,0.7236363636363636,0.7217484008528786,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,412,0.863858695652174,0.9033749627833304,0.7103257103257103,0.7192608386638237,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,464,0.8662137681159421,0.9045459241897671,0.7236363636363636,0.722547974413646,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,620,0.8701992753623189,0.9097925430183477,0.7368421052631579,0.7274342572850037,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,65,0.8657608695652175,0.9058652390993157,0.7302514824914512,0.7231698649609098,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,695,0.8698369565217392,0.9066170759940257,0.7302514824914512,0.726545842217484,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,222,0.858786231884058,0.9004343278826196,0.7103257103257103,0.7243248045486851,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,591,0.8679347826086957,0.9054687054499956,0.7302514824914512,0.7195273631840796,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,893,0.8665760869565218,0.903763288655079,0.7302514824914512,0.7271677327647477,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,959,0.8638586956521739,0.9023244822069642,0.7302514824914512,0.7259239516702204,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,353,0.874909420289855,0.9087755460071714,0.7236363636363636,0.7165955934612651,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,422,0.8673007246376813,0.9062989696865562,0.7302514824914512,0.7366737739872069,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,450,0.8688405797101448,0.9051405999645714,0.7368421052631579,0.7096659559346127,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,856,0.8623188405797102,0.9038736968115316,0.7169950205672223,0.7192608386638237,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,471,0.8612318840579711,0.9017503392883972,0.7302514824914512,0.7224591329068941,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,672,0.8704710144927537,0.9069062904378404,0.743409946760161,0.7223702914001422,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,713,0.8652173913043478,0.9033202491715767,0.7103257103257103,0.7243248045486852,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,373,0.864855072463768,0.9033778842674605,0.7236363636363636,0.7204157782515992,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,342,0.8593297101449275,0.9008257965098823,0.703626673599376,0.7232587064676617,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,698,0.8748188405797102,0.9101311974111141,0.7236363636363636,0.7237029140014214,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,74,0.8562500000000001,0.8980152748869663,0.7236363636363636,0.7258351101634684,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,636,0.8568840579710145,0.8997362001861262,0.7368421052631579,0.7185501066098081,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,681,0.8580615942028986,0.9003575424406198,0.7368421052631579,0.7230810234541577,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,776,0.8679347826086956,0.9067323778962436,0.7169950205672223,0.7220149253731343,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,78,0.8603260869565219,0.9012125439907381,0.7302514824914512,0.7239694385216774,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,260,0.8651268115942028,0.9026439957844906,0.7302514824914512,0.7193496801705758,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,96,0.8611413043478262,0.9017378662937449,0.7302514824914512,0.7241471215351812,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,918,0.863677536231884,0.9003312265365022,0.7103257103257103,0.7237917555081733,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,714,0.8628623188405797,0.9038916894396812,0.7302514824914512,0.7251243781094527,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,42,0.8571557971014494,0.9010309589401049,0.703626673599376,0.7240582800284293,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,778,0.8684782608695651,0.9030085099708722,0.7169950205672223,0.7237029140014215,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,660,0.864039855072464,0.9019873407354917,0.7302514824914512,0.7263681592039801,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,431,0.8706521739130435,0.9062985955764836,0.703626673599376,0.7192608386638237,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,804,0.8615036231884059,0.9021583177075824,0.7302514824914512,0.7229033404406539,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,186,0.8632246376811594,0.9044827692396225,0.7368421052631579,0.7267235252309879,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,347,0.8638586956521739,0.9024609889001891,0.743409946760161,0.7223702914001422,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,60,0.8661231884057972,0.9035509523686933,0.7302514824914512,0.7214818763326226,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,86,0.870108695652174,0.9065380398932326,0.7169950205672223,0.720859985785359,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,461,0.8603260869565218,0.9016574337700236,0.7368421052631579,0.7252132196162047,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,889,0.8638586956521739,0.9014612462509739,0.7236363636363636,0.724413646055437,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,397,0.8662137681159421,0.903959572627429,0.7236363636363636,0.724413646055437,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,309,0.8639492753623189,0.9042188376911717,0.7169950205672223,0.7215707178393745,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,798,0.8679347826086958,0.9063050397430277,0.7236363636363636,0.7207711442786068,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,594,0.8671195652173912,0.9040952288729398,0.7302514824914512,0.7223702914001422,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,643,0.8611413043478263,0.9018928839217923,0.7169950205672223,0.717039800995025,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,455,0.8728260869565218,0.9087697219789708,0.743409946760161,0.7205046197583511,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,723,0.8613224637681159,0.9027060404160461,0.7236363636363636,0.7193496801705757,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,964,0.8656702898550724,0.9028564143508124,0.7236363636363636,0.7269012082444918,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,335,0.8633152173913043,0.9038827262748125,0.7236363636363636,0.7207711442786069,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,716,0.8634963768115942,0.9055194277402772,0.7103257103257103,0.7212153518123667,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,127,0.8738224637681159,0.9087502748913716,0.703626673599376,0.7242359630419332,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,669,0.8556159420289855,0.8983047110906701,0.7169950205672223,0.724502487562189,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,323,0.8663949275362319,0.9050882633959092,0.7103257103257103,0.7195273631840796,nan,nan,nan,nan,nan,nan,nan
rf_ecfp,81,0.8644927536231884,0.9015842501492285,0.7103257103257103,0.7221037668798863,nan,nan,nan,nan,nan,nan,nan
